"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"CUI_SJ1-3523N";1;"SJ1-3523N";;;
2;"C26";"C_1206_3216Metric";1;"100u 6.3V";;;
3;"SW2,SW1";"SW_SP3T_PCM13";2;"EG1381A";;;
4;"R40,R39,R38,R37,R33,R32,R25,R23,R22,R21,R10,R9,R8,R7,R1";"R_0402_1005Metric";15;"10k";;;
5;"R36,R35,R34,R31,R29,R17,R3";"R_0402_1005Metric";7;"3.32k";;;
6;"Q8,Q7,Q6";"SOT-23";3;"2N7002";;;
7;"D4";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"LL-R3528RGBM";;;
8;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24AA256-I/SN";;;
9;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"DSP_PROG";;;
10;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5";4;"M2.5";;;
11;"Q4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FDS4935A";;;
12;"C51,C50,C49,C48,C46,C45,C41,C36,C34,C33,C32,C24,C23,C22,C21,C20,C17,C16,C15,C14,C3,C1";"C_0402_1005Metric";22;"100n";;;
13;"C2";"C_0402_1005Metric";1;"100p";;;
14;"Q3";"SOT-563";1;"MMDT2907V";;;
15;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"ABM8-12.288MHZ-B2-T";;;
16;"U7";"SOT-143";1;"CAT811STBI-GT3";;;
17;"U6";"SOT-223";1;"AZ1117-3.3";;;
18;"U5";"TO-252-2";1;"MC78M06CDTRKG";;;
19;"U4";"LQFP-48_7x7mm_P0.5mm";1;"ADAU1701";;;
20;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"HEF4049BT,653";;;
21;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"TL494";;;
22;"TP4";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"Audio_out";;;
23;"TP3";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"~PWMPRE";;;
24;"TP2";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"PWMPRE";;;
25;"TP1";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"PWMOUT";;;
26;"R30,R28";"R_0402_1005Metric";2;"274";;;
27;"R27,R26";"R_0402_1005Metric";2;"10";;;
28;"R24,R15,R5,R4";"R_0402_1005Metric";4;"49.9k";;;
29;"R20";"R_0402_1005Metric";1;"56.2";;;
30;"R19,R18";"R_0402_1005Metric";2;"221";;;
31;"R16";"R_0402_1005Metric";1;"1k";;;
32;"R14,R2";"R_0402_1005Metric";2;"100";;;
33;"R13";"R_0402_1005Metric";1;"18.2k";;;
34;"R12,R11";"R_0402_1005Metric";2;"0";;;
35;"R6";"R_0402_1005Metric";1;"475";;;
36;"Q5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FDS6890A";;;
37;"Q2";"SOT-563";1;"MMDT2222V";;;
38;"Q1";"SOT-89-3";1;"ZXTP25040DZTA";;;
39;"L1";"L_10.4x10.4_H4.8";1;"56uH";;;
40;"J5";"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical";1;"SPK_OUT";;;
41;"J4";"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical";1;"12V_IN";;;
42;"J3";"PinHeader_2x02_P2.54mm_Vertical";1;"PWR_SEL";;;
43;"Freq1,Duty1";"Potentiometer_Bourns_3266Y_Vertical";2;"10k";;;
44;"FB2,FB1";"L_0603_1608Metric";2;"220 Ω@100MHz";;;
45;"F1";"Fuse_1206_3216Metric";1;"Fuse";;;
46;"D3";"D_SMB";1;"SMBJ17A";;;
47;"D2,D1";"D_SOD-323";2;"MMDL914T1";;;
48;"C53,C52,C47,C44,C43,C42,C31,C27,C25,C19,C18,C12,C11,C8,C7";"C_0805_2012Metric";15;"10u 35V";;;
49;"C40";"C_Elec_8x10.2";1;"220u 35V";;;
50;"C38,C37";"C_0603_1608Metric";2;"4.7µ 25V";;;
51;"C35,C10";"C_0603_1608Metric";2;"56n";;;
52;"C30";"C_0603_1608Metric";1;"100n";;;
53;"C29,C28";"C_0603_1608Metric";2;"390p";;;
54;"C13,C9";"C_0603_1608Metric";2;"27p";;;
55;"C6,C4";"C_0603_1608Metric";2;"3.3n";;;
56;"C5";"C_0603_1608Metric";1;"100p";;;
